TO 1,TO 2,TO 3,TO 4,TO 5,TO 6,TO 7,RATA- RATA TO 4 S.D 7,ESTIMASI RATA-RATA,Rata-rata,Ranking,RUMPUN,JURUSAN/PRODI,PU,PK,PPU,PBM,LIND,LING
799.43,686.69,772.47,749.6,766.39,789.2,743.08,762.07,779.84,764.97,1.0,TEKNIK,TEKNIK MESIN,774.07,803.21,733.14,819.01,735.81,747.36
698.9,679.68,619.73,654.87,697.84,702.08,642.36,674.29,702.71,763.38,2.0,TEKNIK,TEKNIK INDUSTRI,727.97,842.86,728.66,649.52,742.27,765.35
722.43,705.93,654.44,642.92,682.17,670.81,589.53,646.36,678.16,755.11,3.0,ILMU FORMAL,SISTEM INFORMASI,725.27,816.86,712.19,758.04,781.01,788.69
743.37,699.57,785.47,664.25,723.49,743.43,701.35,708.13,732.45,752.09,4.0,TEKNIK,STEI-R,726.01,863.27,689.54,692.26,693.84,799.83
613.49,682.89,709.46,653.87,725.74,661.1,677.51,679.55,707.33,751.51,5.0,KESEHATAN,KEDOKTERAN,723.45,822.79,721.28,763.17,635.72,715.32
697.32,716.6,733.49,678.98,733.19,716.97,634.58,690.93,717.33,747.94,6.0,TEKNIK,TEKNIK INDUSTRI,730.11,743.17,759.7,757.43,617.97,779.84
679.95,594.91,650.08,618.13,699.5,647.42,623.73,647.2,678.9,728.53,7.0,TEKNIK,TEKNIK PERKAPALAN,736.78,797.28,681.48,722.17,666.39,651.4
664.84,596.33,658.93,637.1,622.16,622.94,520.24,600.61,637.97,728.47,8.0,TEKNIK,TEKNOLOGI BIOPROSES,732.3,731.48,700.36,747.93,705.14,758.34
688.07,627.48,673.29,662.51,645.19,654.51,639.83,650.51,681.81,723.96,9.0,ILMU FORMAL,SISTEM INFORMASI,770.28,798.76,598.66,694.04,668.01,788.69
702.73,659.9,694.4,663.89,647.52,684.7,616.76,653.22,684.19,723.22,10.0,KESEHATAN,KEDOKTERAN,749.71,764.61,751.21,709.59,566.31,737.15
685.33,575.77,599.18,603.92,615.01,622.91,599.83,610.42,646.58,719.07,11.0,TEKNIK,TEKNIK INFORMATIKA,717.4,863.39,666.0,718.7,472.68,705.0
661.58,648.47,613.46,566.83,620.83,666.11,594.7,612.12,648.08,718.87,12.0,TEKNIK,TEKNIK INDUSTRI,729.67,607.99,728.91,658.31,727.74,811.94
747.74,655.29,705.86,643.1,719.63,669.07,592.09,655.98,686.62,718.08,13.0,BISNIS,BISNIS ISLAM,832.05,697.01,728.06,738.74,686.72,714.37
706.87,745.7,675.99,658.99,673.49,734.8,703.6,692.72,718.9,717.93,14.0,TEKNIK,TEKNIK MESIN,711.84,790.39,633.44,680.98,648.64,782.71
735.21,625.18,645.44,663.96,651.8,756.44,640.19,678.1,706.06,716.81,15.0,ILMU FORMAL,MATEMATIKA,694.68,783.85,664.35,606.44,743.88,652.59
734.13,641.14,661.32,650.11,704.91,700.63,707.4,690.76,717.18,714.54,16.0,-,-,775.7,781.75,630.82,683.53,626.47,684.42
686.43,589.99,602.82,626.9,630.26,614.1,599.4,617.66,652.95,714.24,17.0,-,-,760.69,758.68,725.45,596.93,706.75,702.57
699.35,678.89,665.64,617.09,637.55,671.76,655.26,645.42,677.34,708.19,18.0,-,-,765.49,846.04,645.33,754.03,527.56,715.09
648.27,541.99,617.66,568.86,646.52,672.53,616.85,626.19,660.44,706.94,19.0,SOSIAL,ILMU EKONOMI ISLAM,742.54,779.41,677.78,641.45,698.48,701.89
644.38,625.71,608.18,670.5,679.03,657.51,637.0,661.01,691.04,703.66,20.0,-,-,715.03,681.93,720.03,668.58,645.41,825.84
625.3,581.52,663.93,639.98,587.54,597.48,626.26,612.81,648.69,702.62,21.0,-,-,676.86,824.04,724.37,795.18,555.01,668.35
714.19,668.28,716.46,596.18,678.61,688.44,607.25,642.62,674.88,696.6,22.0,-,-,654.29,699.36,663.58,717.06,747.11,706.13
